Name,day,Maximum_Temperature,Minimum_Temperature,Temperature,Wind_Chill,Precipitation,Snow,Wind_Speed,Visibility,Cloud_Cover,Relative_Humidity,Conditions
"London, England, United Kingdom",2011-12-29,10.1,5.3,7.5,1,4.29,,30.7,26.9,0.4,75.56,Rain
"London, England, United Kingdom",2011-12-30,10.5,5.6,6.8,2.3,3.51,,24.6,19.1,28.7,84.95,"Rain, Partially cloudy"
"London, England, United Kingdom",2011-12-31,12.6,10.9,11.6,,2.23,,25.3,41.6,48.2,89.89,"Rain, Partially cloudy"
"London, England, United Kingdom",2012-01-01,13,7.5,11.2,4.3,9.84,,26.4,29.3,13.2,89.47,Rain
"London, England, United Kingdom",2012-01-02,7.8,4.3,6,0.9,11.18,,27,33.8,4.4,80.72,Rain
"London, England, United Kingdom",2012-01-03,12.5,5.8,8.9,2.1,8.43,,51.2,21.7,12.4,81.9,Rain
"London, England, United Kingdom",2012-01-04,9.6,5.3,7.3,0.8,0,,47.4,24.8,0.4,77.54,Clear
"London, England, United Kingdom",2012-01-05,11.6,7.5,9.9,4.1,5.09,,52.1,32,0.3,68.57,Rain
"London, England, United Kingdom",2012-01-06,9.3,4.8,7.4,2.4,0.2,,23.4,28,0.2,77.15,Rain
"London, England, United Kingdom",2012-01-07,10.6,8,9.6,5.2,0,,26.8,32.3,0.3,71.79,Clear
"London, England, United Kingdom",2012-01-08,9.8,8.1,9,6,0,,14.7,34.6,0.2,74.76,Clear
"London, England, United Kingdom",2012-01-09,12.6,8,10.4,6,0.3,,24.1,26.9,0.2,84.48,Rain
"London, England, United Kingdom",2012-01-10,11.5,9.3,10.4,7.6,0.2,,20.1,32.3,0.3,86.3,Rain
"London, England, United Kingdom",2012-01-11,11.3,7.3,9.4,5.2,0.7,,18.7,34.1,0.2,83.08,Rain
"London, England, United Kingdom",2012-01-12,12.8,5.8,9.2,4.1,0.2,,27,31.4,0.2,79.22,Rain
"London, England, United Kingdom",2012-01-13,6.6,2.3,4.8,1.2,0,,11.4,18.5,0.1,81.29,Clear
"London, England, United Kingdom",2012-01-14,6.3,-1.4,2.7,0.6,0.2,,9.3,14.1,0,85.62,Rain
"London, England, United Kingdom",2012-01-15,6.3,1.6,3.7,-1.1,0.3,,20.9,20.8,0,75.98,Rain
"London, England, United Kingdom",2012-01-16,6.8,1.5,3.5,-1.3,0.2,,14.3,20.1,0.1,71.33,Rain
"London, England, United Kingdom",2012-01-17,6.3,-1.2,3,-3.4,0.26,,9.9,14.4,0.2,83.35,Rain
"London, England, United Kingdom",2012-01-18,12.1,5.1,9.5,2.5,0.8,,22.6,10.7,0.3,92.72,Rain
"London, England, United Kingdom",2012-01-19,11.6,7.1,9.8,3.5,8.08,,28.1,34.8,0.3,85.21,Rain
"London, England, United Kingdom",2012-01-20,10.6,5.1,8.1,1.5,0,,30.7,27.4,0.3,77.61,Clear
"London, England, United Kingdom",2012-01-21,12.6,7.8,10.5,4.5,0.3,,33.2,33.8,0.4,74.73,Rain
"London, England, United Kingdom",2012-01-22,12,6.1,8.7,2.1,0.3,,30.4,28.3,0.3,67.52,Rain
"London, England, United Kingdom",2012-01-23,8.6,3.8,6.5,1.9,0,,18.6,30.6,0.2,77.49,Clear
"London, England, United Kingdom",2012-01-24,10,2.3,6.1,-0.2,5.11,,14.5,10.5,0.3,96.08,Rain
"London, England, United Kingdom",2012-01-25,10.1,8.6,9.5,5.8,1.26,,25.1,23.1,0.3,88.89,Rain
"London, England, United Kingdom",2012-01-26,10.1,3.6,7.7,0.4,1.62,,34.1,32.7,0.2,79.35,Rain
"London, England, United Kingdom",2012-01-27,8.8,3.3,5.4,0,2.2,,20.2,32.5,0.1,77.71,Rain
"London, England, United Kingdom",2012-01-28,7,4,5,1.2,1.51,,14.4,18.5,0.2,83.8,Rain
"London, England, United Kingdom",2012-01-29,5.1,2,3.5,-0.6,0.26,,14.8,8.5,0.2,88.09,Rain
"London, England, United Kingdom",2012-01-30,4.3,1.3,3,-0.1,0.3,,10,11.9,0.2,77.46,Rain
"London, England, United Kingdom",2012-01-31,2.6,0.1,1.8,-2.4,0.3,,16.2,5.8,0.2,82.29,Rain
"London, England, United Kingdom",2012-02-01,3.8,-0.4,1.3,-5.6,0.2,,28.3,20,0.1,65.71,Rain
"London, England, United Kingdom",2012-02-02,1.8,-1.2,-0.1,-5.9,0.2,,24.4,35.3,0,56.92,Rain
"London, England, United Kingdom",2012-02-03,1.8,-1.9,-0.1,-5.3,0,,12.4,26.3,0.1,64.83,Clear
"London, England, United Kingdom",2012-02-04,1.1,-2.5,-0.6,-5.9,0,,18.7,9.2,0.2,79.08,Clear
"London, England, United Kingdom",2012-02-05,2.3,0.1,1.2,-4.5,6.39,,16.8,4.4,0.3,95.63,Rain
"London, England, United Kingdom",2012-02-06,5,1.3,2.8,0.1,8.35,,8.1,4.4,0.3,91.31,Rain
"London, England, United Kingdom",2012-02-07,3.3,-2.4,1,-7.5,0.96,,18.7,14.9,0.2,73.51,Rain
"London, England, United Kingdom",2012-02-08,1.1,-1.7,0.1,-6.3,0,,17.6,20.6,0.2,75.66,Clear
"London, England, United Kingdom",2012-02-09,2.3,-0.7,0.7,-3.8,0.5,,10.9,12.7,0.3,79.54,Rain
"London, England, United Kingdom",2012-02-10,1.5,-1.5,0.1,-3.3,3,,13.6,10.5,0.1,80.37,Rain
"London, England, United Kingdom",2012-02-11,2.6,-3.9,-1,-3.2,0,,8.1,6.9,0,74.9,Clear
"London, England, United Kingdom",2012-02-12,5.5,-3.2,1.3,-4.6,0.8,,12.3,5,0.3,86.81,Rain
"London, England, United Kingdom",2012-02-13,7,1.1,4.7,-1.1,0.7,,19.7,12.4,0.3,89.17,Rain
"London, England, United Kingdom",2012-02-14,8.8,5.1,6.8,1.5,0.5,,21.2,23.6,0.3,74.6,Rain
"London, England, United Kingdom",2012-02-15,11.1,7.1,9.1,3.9,0,,24.9,28.5,0.3,72.23,Clear
"London, England, United Kingdom",2012-02-16,11,5.6,8.3,3.6,0.3,,19.5,29.8,0.2,73.62,Rain
"London, England, United Kingdom",2012-02-17,12,7.1,9.6,5.2,0.3,,23.8,19.1,0.3,84.04,Rain
"London, England, United Kingdom",2012-02-18,11.3,3.6,8.1,-0.3,3,,33,38.4,0.3,78.36,Rain
"London, England, United Kingdom",2012-02-19,6.8,1.8,4.2,-1.8,0.2,,22.3,36.8,0,61.92,Rain
"London, England, United Kingdom",2012-02-20,8.6,-1.7,4,-2.7,0,,22.3,31.6,0.2,69.91,Clear
"London, England, United Kingdom",2012-02-21,12.1,6.1,8.8,3.2,0.5,,25.2,31.9,0.2,75.55,Rain
"London, England, United Kingdom",2012-02-22,10.5,7.8,9,4.4,1,,31.9,20.6,0.4,83.22,Rain
"London, England, United Kingdom",2012-02-23,17,10.6,13.3,,0.2,,22.8,21.8,0.2,83.71,Rain
"London, England, United Kingdom",2012-02-24,15,9.8,11.7,7.3,0,,21.8,26.9,0.3,82.99,Clear
"London, England, United Kingdom",2012-02-25,12.8,8.1,10,6.3,0.2,,16.9,27,0.2,64.11,Rain
"London, England, United Kingdom",2012-02-26,13.1,4,8.5,3.9,0,,14.5,19.7,0.1,72.06,Clear
"London, England, United Kingdom",2012-02-27,11.3,6.5,9.2,4,0.27,,17.5,22.6,0.3,83.99,Rain
"London, England, United Kingdom",2012-02-28,14.3,10.1,11.6,,0.3,,12.4,9.9,0.3,85.17,Rain
"London, England, United Kingdom",2012-02-29,12.8,9.8,11,8.5,0,,12.3,9.1,0.3,85.42,Clear
"London, England, United Kingdom",2012-03-01,15.3,7.1,11,7.4,0,,9,6,0.1,77.36,Clear
"London, England, United Kingdom",2012-03-02,9.8,6.3,8,5.4,0,,15.5,3.9,0.1,89.41,Clear
"London, England, United Kingdom",2012-03-03,14.8,7.1,9.9,5.2,1.06,,26.7,12.5,0.2,80.9,Rain
"London, England, United Kingdom",2012-03-04,9.8,4.3,6.9,-0.2,3.36,,29.6,19.4,0.4,88.89,Rain
"London, England, United Kingdom",2012-03-05,10.1,4.5,6.8,-0.4,2.2,,34.7,45.1,0.4,62.79,Rain
"London, England, United Kingdom",2012-03-06,7.3,4.1,5.5,0.3,0,,19.9,25.5,0.2,77.43,Clear
"London, England, United Kingdom",2012-03-07,11.5,5.5,7.9,2.3,4.87,,33.4,29,0.3,77.75,Rain
"London, England, United Kingdom",2012-03-08,12.6,3.3,7.7,0.2,1,,19.9,27.9,0.1,67.61,Rain
"London, England, United Kingdom",2012-03-09,11.3,7.1,9.6,4.7,0.5,,22.8,25.6,0.3,76.74,Rain
"London, England, United Kingdom",2012-03-10,16,9.1,12,6.9,0,,16.9,19.8,0.3,80.16,Clear
"London, England, United Kingdom",2012-03-11,16.1,7,11.3,7.2,0.3,,11.5,16.1,0.1,79.45,Rain
"London, England, United Kingdom",2012-03-12,14.8,5.8,9.5,7.5,0,,10,6.2,0.1,85.06,Clear
"London, England, United Kingdom",2012-03-13,11.5,6.5,8.1,4.9,0.2,,10.3,7.1,0.2,84.67,Rain
"London, England, United Kingdom",2012-03-14,13.1,5.6,7.8,3.8,0,,10.1,6.6,0.2,79.37,Clear
"London, England, United Kingdom",2012-03-15,17.3,3.6,9.6,2.4,2,,16.5,3.7,0,80.84,Rain
"London, England, United Kingdom",2012-03-16,10,8.6,9.3,6.2,0.2,,19.6,11.8,0.2,75.45,Rain
"London, England, United Kingdom",2012-03-17,11.1,7.8,9.4,5.4,0.78,,18,14,0.3,86.14,Rain
"London, England, United Kingdom",2012-03-18,10.3,4.3,7.4,2.1,3.62,,16.7,23.3,0.1,80.88,Rain
"London, England, United Kingdom",2012-03-19,13.6,1.8,8,1,0,,17.3,29.7,0,66.77,Clear
"London, England, United Kingdom",2012-03-20,15.1,4.3,9.9,2.5,1.3,,15.4,31,0.1,70.88,Rain
"London, England, United Kingdom",2012-03-21,16.1,8.3,11.8,6.9,0,,19.3,23.6,0.2,64.34,Clear
"London, England, United Kingdom",2012-03-22,16.4,6.6,11.1,4.3,0,,26.1,8,0.2,70.64,Clear
"London, England, United Kingdom",2012-03-23,20.6,7.5,13.2,8.4,0,,9.5,6.8,0.1,71.81,Clear
"London, England, United Kingdom",2012-03-24,19.4,7.3,12.4,7.6,0,,15.9,8,0.1,73.18,Clear
"London, England, United Kingdom",2012-03-25,14.2,5,8.9,3.4,0,,14.3,16.2,0.1,77.3,Clear
"London, England, United Kingdom",2012-03-26,18.8,4.3,10.8,2.8,0,,19.5,15,0,69.45,Clear
"London, England, United Kingdom",2012-03-27,18.8,6.8,12.1,6.1,0.3,,15.4,25.1,0,49.38,Rain
"London, England, United Kingdom",2012-03-28,21.8,5.6,13.8,,0,,10.8,29.7,0,48.32,Clear
"London, England, United Kingdom",2012-03-29,19.8,7.1,13.8,6.1,0,,13.6,15.9,0.1,59.61,Clear
"London, England, United Kingdom",2012-03-30,17.8,8.6,12.6,7.8,0,,15.2,7.8,0.1,69.1,Clear
"London, England, United Kingdom",2012-03-31,11.3,6.3,9.2,4.5,0,,20.5,22.4,0.2,68.81,Clear
"London, England, United Kingdom",2012-04-01,13.6,3.5,8.4,2.3,0,,9.4,30.4,0.1,58.45,Clear
"London, England, United Kingdom",2012-04-02,15.3,4.6,10.1,3.8,0,,10.3,23.6,0.1,61.62,Clear
"London, England, United Kingdom",2012-04-03,13.1,5.5,9.6,6,0.5,,17.6,19.7,0.2,75.61,Rain
"London, England, United Kingdom",2012-04-04,10.3,3.8,7.7,1.8,7.57,,17.5,25,0.2,73.73,Rain
"London, England, United Kingdom",2012-04-05,9.1,4.6,7.5,2.8,0.3,,21.8,16.5,0.2,74.01,Rain
"London, England, United Kingdom",2012-04-06,13,1.3,7.7,-0.4,0,,17.9,28,0.1,62.53,Clear
"London, England, United Kingdom",2012-04-07,11.1,7.6,9,7,0.49,,16.8,25.9,0.3,72.98,Rain
"London, England, United Kingdom",2012-04-08,13.5,6.6,10.1,4.6,0.8,,20.8,22,0.3,80.34,Rain
"London, England, United Kingdom",2012-04-09,11.1,8.6,9.9,5.9,4.9,,31.3,16.4,0.5,90.03,Rain
"London, England, United Kingdom",2012-04-10,14.1,6.3,9.5,3.1,6.8,,27.4,36.8,0.1,70.08,Rain
"London, England, United Kingdom",2012-04-11,13.6,3.8,9.1,2.9,1.3,,19.7,37,0.2,66.89,Rain
"London, England, United Kingdom",2012-04-12,12.6,4.1,8.5,4,1.51,,13.1,26.6,0.2,76.72,Rain
"London, England, United Kingdom",2012-04-13,12.3,4.5,8.5,3.2,0.7,,8.6,18,0.1,76.53,Rain
"London, England, United Kingdom",2012-04-14,12,6.1,8.7,3.7,4.6,,21.2,26,0.3,70.64,Rain
"London, England, United Kingdom",2012-04-15,9.5,3.8,6.6,-0.1,0,,25.3,38.2,0.1,65.18,Clear
"London, England, United Kingdom",2012-04-16,11.3,3,7,1.5,0.3,,18.3,37.4,0.1,55.74,Rain
"London, England, United Kingdom",2012-04-17,14.3,5.3,8.4,2,1.01,,35,33.2,0.3,71.26,Rain
"London, England, United Kingdom",2012-04-18,10.5,6.3,8.1,3,10.23,,27.7,21,0.4,86.99,Rain
"London, England, United Kingdom",2012-04-19,10.6,6.8,7.8,3.7,20.36,,19.4,18.3,0.3,91.75,Rain
"London, England, United Kingdom",2012-04-20,12.6,5.6,8.2,3,4.22,,19.9,25.1,0.2,82.9,Rain
"London, England, United Kingdom",2012-04-21,13,4.1,8.5,2.1,3.27,,25.2,40.3,0.2,72.88,Rain
"London, England, United Kingdom",2012-04-22,14.6,4.8,9,2.4,1.5,,25.9,33.1,0.2,77.83,Rain
"London, England, United Kingdom",2012-04-23,10.1,7.3,8.2,4.8,4.81,,23.8,19.7,0.3,85.56,Rain
"London, England, United Kingdom",2012-04-24,12.8,7.3,9.4,4.4,5.81,,19.7,25,0.2,73.8,Rain
"London, England, United Kingdom",2012-04-25,12.1,6.8,9.1,2.4,7.35,,32.4,18.3,0.5,88.09,Rain
"London, England, United Kingdom",2012-04-26,14.6,9.1,11.1,5.7,11.78,,39.8,24.8,0.4,77.14,Rain
"London, England, United Kingdom",2012-04-27,15.5,9.6,11.5,7.2,8.62,,24.7,31.4,0.3,77.52,Rain
"London, England, United Kingdom",2012-04-28,10.1,6.3,8.7,2,5.53,,32.7,12.2,0.5,91.64,Rain
"London, England, United Kingdom",2012-04-29,15.3,6.1,9.6,1.5,18.86,,33.6,24.4,0.5,85.01,Rain
"London, England, United Kingdom",2012-04-30,17.6,8.8,13.5,5.9,0,,23.6,40.5,0.2,67.12,Clear
"London, England, United Kingdom",2012-05-01,17.6,11.3,13.9,,13.89,,22.5,18.6,0.3,83.97,Rain
"London, England, United Kingdom",2012-05-02,14.6,9.6,11.4,7.7,0,,18.8,12,0.3,83.59,Clear
"London, England, United Kingdom",2012-05-03,9.6,8.1,8.9,6.2,6.93,,14.4,14.4,0.3,88.66,Rain
"London, England, United Kingdom",2012-05-04,9.3,7.6,8.5,6.3,0.5,,14.3,18.5,0.4,84.28,Rain
"London, England, United Kingdom",2012-05-05,10.3,6.3,7.9,3.3,3.83,,20.6,32.7,0.3,71.2,Rain
"London, England, United Kingdom",2012-05-06,9,5.8,7.4,3.3,0.92,,15.9,31.5,0.3,73.22,Rain
"London, England, United Kingdom",2012-05-07,15,5.5,9.9,5.4,0.5,,20.7,19.9,0.3,82.49,Rain
"London, England, United Kingdom",2012-05-08,18,10.3,13.6,,4.9,,19.4,25.9,0.3,80.95,Rain
"London, England, United Kingdom",2012-05-09,15.5,10.8,13.4,,3.05,,22.7,10.1,0.4,92.14,Rain
"London, England, United Kingdom",2012-05-10,17.1,14.3,15.7,,12,,30.2,22.6,0.5,89.69,Rain
"London, England, United Kingdom",2012-05-11,16.3,9.1,13.2,7,0,,28.7,45.2,0.2,62.29,Clear
"London, England, United Kingdom",2012-05-12,14.8,6.1,10.7,4.1,0.2,,17.5,43.1,0.1,56.73,Rain
"London, England, United Kingdom",2012-05-13,16.8,6.1,11.9,4.9,0,,25,31.9,0.1,60.63,Clear
"London, England, United Kingdom",2012-05-14,11.8,7.3,9.8,4.6,3.5,,22.3,29.3,0.2,79.41,Rain
"London, England, United Kingdom",2012-05-15,12.3,6,8.1,3.1,6.11,,23,30.8,0.3,81,Rain
"London, England, United Kingdom",2012-05-16,14,4.1,10.1,2.2,0.5,,17,35.4,0.1,62.87,Rain
"London, England, United Kingdom",2012-05-17,14.5,6.5,11.4,5.7,0,,17.5,32.4,4.3,64.83,Clear
"London, England, United Kingdom",2012-05-18,16.3,9.6,13.1,7.6,0.7,,16.1,17.2,0.3,75.69,Rain
"London, England, United Kingdom",2012-05-19,16.6,10.1,13.6,,0.8,,17.7,15.3,0.3,77.46,Rain
"London, England, United Kingdom",2012-05-20,12.3,9.3,10.8,7,0,,19.7,20.4,0.2,81.86,Clear
"London, England, United Kingdom",2012-05-21,16.3,9.6,12.9,7.4,0,,19.7,13.2,0.2,81.2,Clear
"London, England, United Kingdom",2012-05-22,25.1,11.8,18.1,,0,,19.2,13.9,0.1,73.84,Clear
"London, England, United Kingdom",2012-05-23,26,14.1,19.7,,0,,12,13.9,0,73.58,Clear
"London, England, United Kingdom",2012-05-24,26.1,15.7,20.7,,0,,13.6,11.2,0,75.41,Clear
"London, England, United Kingdom",2012-05-25,24.8,16.5,20.5,,0,,28.5,21.4,0,61.05,Clear
"London, England, United Kingdom",2012-05-26,25.3,15.3,20.3,,0,,29.5,26.8,0,55.7,Clear
"London, England, United Kingdom",2012-05-27,26.5,13.8,20.3,,0,,20.9,30,0,54.4,Clear
"London, England, United Kingdom",2012-05-28,26.3,14.8,21,,0,,16.1,27.4,0.1,59.18,Clear
"London, England, United Kingdom",2012-05-29,23.3,14.6,18.4,,0,,13.9,18.8,0.1,71.56,Clear
"London, England, United Kingdom",2012-05-30,24.8,13,18.8,,2.27,,21.2,19.6,0.2,70.08,Rain
"London, England, United Kingdom",2012-05-31,20.1,14.1,16.8,,0.3,,26.9,24.5,0.3,74.36,Rain
"London, England, United Kingdom",2012-06-01,20.3,14.1,17,,0,,14.2,21.2,0.3,76.93,Clear
"London, England, United Kingdom",2012-06-02,17.9,12.1,14.2,,1.3,,20,13.1,0.3,80.57,Rain
"London, England, United Kingdom",2012-06-03,12.4,10.6,11.6,,20.89,,18.8,7.6,0.3,95.42,Rain
"London, England, United Kingdom",2012-06-04,14.3,7.8,10.9,4.7,16.96,,19.9,28.3,0.3,77.7,Rain
"London, England, United Kingdom",2012-06-05,15.3,8.3,11.9,9,5.4,,22,19.8,0.3,80.78,Rain
"London, England, United Kingdom",2012-06-06,19,12.6,15.3,,4.69,,26.7,20.2,0.3,80.66,Rain
"London, England, United Kingdom",2012-06-07,17.5,12.6,14.9,,8.42,,33.5,17.5,0.5,84.45,Rain
"London, England, United Kingdom",2012-06-08,15.6,12.6,13.9,,4.01,,42.4,22,0.5,76.72,Rain
"London, England, United Kingdom",2012-06-09,18.5,11.1,14.4,,0,,32.5,37.3,1.1,60.21,Clear
"London, England, United Kingdom",2012-06-10,17.6,9.3,13.8,9.2,1.57,,14.5,19.7,0.3,77.61,Rain
"London, England, United Kingdom",2012-06-11,13.5,11.1,12.4,,40.88,,20.3,7.7,0.3,95.58,Rain
"London, England, United Kingdom",2012-06-12,13.3,10.8,12,,10.89,,21.2,26.1,0.3,81.62,Rain
"London, England, United Kingdom",2012-06-13,18.1,8.1,13.4,,0,,13.7,32.9,0.1,65.09,Clear
"London, England, United Kingdom",2012-06-14,18.8,9.3,14,8.7,0,,24.2,26.1,0.2,70.95,Clear
"London, England, United Kingdom",2012-06-15,18.1,12.9,15.4,,10.61,,33.1,22.1,0.3,77.44,Rain
"London, England, United Kingdom",2012-06-16,17.8,12.6,15.3,,0.3,,39.3,24.6,0.4,71.11,Rain
"London, England, United Kingdom",2012-06-17,19.8,12.5,16.1,,0.4,,24.4,30.5,0.2,66.5,Rain
"London, England, United Kingdom",2012-06-18,19.6,11.3,15,,3.31,,18.3,29.6,0.2,70.78,Rain
"London, England, United Kingdom",2012-06-19,21.1,10.5,16.2,,0.3,,11.7,28.8,0.2,67.25,Rain
"London, England, United Kingdom",2012-06-20,21.6,11.6,17.3,,0,,20.2,31.1,0.2,63.09,Clear
"London, England, United Kingdom",2012-06-21,19.3,11.5,15.7,,5.44,,35.2,17.1,0.4,84.73,Rain
"London, England, United Kingdom",2012-06-22,18.3,11.5,15,,11.4,,39.6,27.3,0.4,76.61,Rain
"London, England, United Kingdom",2012-06-23,18.5,10.8,14.8,,0.3,,26.5,30.5,0.2,70.12,Rain
"London, England, United Kingdom",2012-06-24,20.6,11.6,15.8,,11.41,,33.1,30.6,0.3,76.37,Rain
"London, England, United Kingdom",2012-06-25,21.6,12.3,17.4,,0.25,,16.5,32.4,0.2,67.81,Rain
"London, England, United Kingdom",2012-06-26,23.8,14.6,18.6,,0,,19.4,30.5,0.3,67.58,Clear
"London, England, United Kingdom",2012-06-27,23.6,17.1,19.7,,0,,16.9,26,0.3,81.58,Clear
"London, England, United Kingdom",2012-06-28,27.8,15.8,21.8,,0.3,,26.3,27.8,0.1,72.98,Rain
"London, England, United Kingdom",2012-06-29,21.5,14.1,17.3,,0.2,,35.4,25.3,0.4,74.26,Rain
"London, England, United Kingdom",2012-06-30,20.6,13.6,17.4,,6.58,,32.3,28.4,0.3,69.2,Rain
"London, England, United Kingdom",2012-07-01,18.6,11.3,15.2,,1.3,,29.4,32.9,0.2,69.5,Rain
"London, England, United Kingdom",2012-07-02,18.1,13,15.5,,3.47,,27.3,22,0.4,83.05,Rain
"London, England, United Kingdom",2012-07-03,19.3,15.6,17.2,,6.19,,22.4,21,0.4,88.61,Rain
"London, England, United Kingdom",2012-07-04,21.5,16,18.6,,7.61,,18.2,23.2,0.3,84.77,Rain
"London, England, United Kingdom",2012-07-05,22.8,15.5,18.8,,0.54,,12.7,31.4,0.3,69.24,Rain
"London, England, United Kingdom",2012-07-06,19,15,16.4,,7.52,,17.4,21.1,0.3,82.3,Rain
"London, England, United Kingdom",2012-07-07,19.3,13.6,16.3,,0.5,,22.6,22.6,0.3,79.65,Rain
"London, England, United Kingdom",2012-07-08,19.2,14.6,16.1,,19.11,,16.9,20.2,0.3,89.62,Rain
"London, England, United Kingdom",2012-07-09,18.1,14.6,16.3,,1.94,,21.6,21.3,0.3,85.41,Rain
"London, England, United Kingdom",2012-07-10,18,12.3,15.4,,2.83,,20.7,25.9,0.3,84.06,Rain
"London, England, United Kingdom",2012-07-11,20.1,12,15,,9.17,,26.3,33.9,0.3,78.6,Rain
"London, England, United Kingdom",2012-07-12,19.6,10.1,14.4,,6.07,,22.1,28.5,0.2,79.98,Rain
"London, England, United Kingdom",2012-07-13,20,14.3,16.2,,7.53,,23.7,25.4,0.3,83.11,Rain
"London, England, United Kingdom",2012-07-14,17,13,14.8,,14.36,,15.8,22.9,0.4,87.69,Rain
"London, England, United Kingdom",2012-07-15,19.1,12.8,15.5,,2,,20.3,31.2,0.2,67.03,Rain
"London, England, United Kingdom",2012-07-16,17.3,13.3,15.6,,2.31,,28.1,24,3.5,84.79,Rain
"London, England, United Kingdom",2012-07-17,22.6,13.6,18.7,,0.4,,23.2,26.8,0.2,77.49,Rain
"London, England, United Kingdom",2012-07-18,18.8,15,16.9,,1.81,,23.4,24.6,0.3,84.97,Rain
"London, England, United Kingdom",2012-07-19,21.1,14.1,17.3,,2,,26,29.4,0.2,70.59,Rain
